Item,Smu1.Time[1][1],Smu1.V[1][1],Smu1.I[1][1],
1,0,-1,-0,025208055973053,
2,0,12051672,-0,98,-0,0252087414264679,
3,0,24096284,-0,96,-0,0252029299736023,
4,0,36139026,-0,94,-0,0252034664154053,
5,0,48184258,-0,92,-0,0252023637294769,
6,0,6022742,-0,9,-0,0252079516649246,
7,0,72273544,-0,88,-0,0252082198858261,
8,0,84316994,-0,86,-0,0252096503973007,
9,0,96361074,-0,84,-0,0252051055431366,
10,1,08404386,-0,82,-0,0252036899328232,
11,1,2045041,-0,8,-0,025206133723259,
12,1,32494976,-0,78,-0,0252054333686829,
13,1,44543168,-0,76,-0,0252046138048172,
14,1,56588794,-0,74,-0,0252025127410889,
15,1,68632612,-0,72,-0,0251992642879486,
16,1,8067858,-0,7,-0,025208443403244,
17,1,92721542,-0,68,-0,0251991152763367,
18,2,0476686,-0,66,-0,0252013504505157,
19,2,1681106,-0,64,-0,0252026915550232,
20,2,28856762,-0,62,-0,0252046436071396,
21,2,40900508,-0,6,-0,0251973569393158,
22,2,52945268,-0,58,-0,025204136967659,
23,2,64989056,-0,56,-0,0252038985490799,
24,2,77036702,-0,54,-0,0251971781253815,
25,2,89082798,-0,52,-0,0252015739679337,
26,3,01125736,-0,5,-0,0251928567886353,
27,3,1317154,-0,48,-0,0251970589160919,
28,3,25213334,-0,46,-0,0251929014921188,
29,3,3725858,-0,44,-0,0252009034156799,
30,3,4930142,-0,42,-0,0251957625150681,
31,3,6134585,-0,4,-0,0251990705728531,
32,3,73389898,-0,38,-0,0251980572938919,
33,3,85434784,-0,36,-0,0251918882131577,
34,3,97478038,-0,34,-0,0251995325088501,
35,4,0952449,-0,32,-0,0251951962709427,
36,4,21569808,-0,3,-0,0251995921134949,
37,4,3361577,-0,28,-0,0251971781253815,
38,4,45660234,-0,26,-0,0251901745796204,
39,4,57704166,-0,24,-0,0251946896314621,
40,4,69749932,-0,22,-0,0251924395561218,
41,4,81795282,-0,2,-0,0251952558755875,
42,4,93839806,-0,18,-0,0251932293176651,
43,5,05882834,-0,16,-0,0251888185739517,
44,5,1792851,-0,14,-0,025188222527504,
45,5,29973002,-0,12,-0,0251895189285278,
46,5,42017102,-0,1,-0,0251858085393906,
47,5,54060816,-0,08,-0,0251884460449219,
48,5,66104214,-0,06,-0,0251917541027069,
49,5,78149682,-0,04,-0,0251910090446472,
50,5,9019342,-0,02,-0,0251858085393906,
51,6,02237752,0,-0,0251815021038055,
52,6,14312964,0,02,-0,0251865535974503,
53,6,26357216,0,04,-0,0251842737197876,
54,6,3840151,0,06,-0,0251860916614532,
55,6,50446554,0,08,-0,0251814424991608,
56,6,62490534,0,1,-0,025178849697113,
57,6,74534674,0,12,-0,0251775532960892,
58,6,86579392,0,14,-0,0251766890287399,
59,6,98624214,0,16,-0,025177463889122,
60,7,10668356,0,18,-0,0251766294240952,
61,7,22712028,0,2,-0,0251618772745132,
62,7,34758426,0,22,-0,0251571387052536,
63,7,46802604,0,24,-0,0251471251249313,
64,7,58848148,0,26,-0,0251360386610031,
65,7,70892132,0,28,-0,0251206755638123,
66,7,82937576,0,3,-0,0250972509384155,
67,7,94982132,0,32,-0,0250560939311981,
68,8,07025068,0,34,-0,0250036418437958,
69,8,1907064,0,36,-0,0249249339103699,
70,8,31114336,0,38,-0,0248157382011414,
71,8,4315913,0,4,-0,0246370583772659,
72,8,55203532,0,42,-0,0243495851755142,
73,8,67249148,0,44,-0,0238924026489258,
74,8,7929529,0,46,-0,0231158435344696,
75,8,91341094,0,48,-0,0217583924531937,
76,9,0338349,0,5,-0,0193355828523636,
77,9,1542953,0,52,-0,0150231570005417,
78,9,3660042,0,54,-0,00736539997160435,
79,9,48648086,0,56,0,00530406553298235,
80,9,71530172,0,58,0,0255701243877411,
81,9,8357895,0,6,0,0554610788822174,
82,9,95625654,0,62,0,0965942963957787,
83,10,12782782,0,64,0,14988899230957,
84,10,24832142,0,66,0,215715408325195,
85,10,36876716,0,68,0,29429817199707,
86,10,48922138,0,7,0,38580322265625,
87,10,60965666,0,72,0,489667892456055,
88,10,7301237,0,74,0,605634689331055,
89,10,8505884,0,76,0,733163833618164,
90,10,97103588,0,78,0,871786117553711,
91,11,0915034,0,8,0,999856948852539,
92,11,21195994,0,82,0,999855041503906,
93,11,33242406,0,84,0,999851226806641,
94,11,45286804,0,86,0,999860763549805,
95,11,57333834,0,88,0,999849319458008,
96,11,69378738,0,9,0,999849319458008,
97,11,81426164,0,92,0,999851226806641,
98,11,9347044,0,94,0,999849319458008,
99,12,0551659,0,96,0,999851226806641,
100,12,175618,0,98,0,999849319458008,
101,12,29606614,1,0,999853134155273,
